device,case_id,family,cells,rank,payload_bytes,consumers,reuse,working_records,cache,comparison,median_difference_us,ci_low,ci_high,winner,test_effect_mean_us,raw_p,test,multiple_testing_family,corrected_p
cpu,8,core,36,32,4608,3,1,1,warm,E minus D,-66.67699999999999,-68.208,-64.87299999999999,E,-66.7950909090909,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,9,core,36,32,4608,3,2,1,warm,E minus C,-23.819000000000017,-28.449000000000012,-21.789000000000016,E,-23.24972727272728,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,9,core,36,32,4608,3,2,1,warm,D minus C,96.44899999999998,86.56700000000001,100.41199999999998,C,94.74245454545454,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,9,core,36,32,4608,3,2,1,warm,G minus F,0.9440000000000168,-0.7660000000000196,13.313999999999993,unresolved,3.2108181818181705,0.240234375,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,9,core,36,32,4608,3,2,1,warm,F minus D,-118.41899999999998,-123.90699999999998,-117.30199999999999,F,-119.02445454545453,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,9,core,36,32,4608,3,2,1,warm,E minus D,-119.58400000000003,-121.74600000000001,-114.57999999999998,E,-117.99218181818183,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,10,core,36,32,4608,3,4,1,warm,E minus C,-40.20799999999991,-47.85100000000003,-36.91399999999999,E,-42.15145454545451,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,10,core,36,32,4608,3,4,1,warm,D minus C,187.45600000000002,184.51100000000008,194.64199999999994,C,189.36727272727276,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,10,core,36,32,4608,3,4,1,warm,G minus F,-31.73600000000002,-35.40599999999998,-23.769000000000005,G,-30.86445454545453,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,10,core,36,32,4608,3,4,1,warm,F minus D,-229.5940000000001,-234.71800000000002,-226.188,F,-230.46172727272733,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,10,core,36,32,4608,3,4,1,warm,E minus D,-230.71900000000014,-235.003,-227.36300000000008,E,-231.5187272727273,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,11,core,36,32,4608,3,8,1,warm,E minus C,-77.32099999999991,-81.67600000000004,-64.49200000000013,E,-74.52118181818183,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,11,core,36,32,4608,3,8,1,warm,D minus C,366.25599999999986,361.2660000000001,370.90700000000015,C,366.9550909090909,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,11,core,36,32,4608,3,8,1,warm,G minus F,-99.42199999999985,-108.39999999999998,-89.30299999999994,G,-99.09227272727271,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,11,core,36,32,4608,3,8,1,warm,F minus D,-440.7480000000001,-449.491,-438.4250000000003,F,-442.9277272727273,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,11,core,36,32,4608,3,8,1,warm,E minus D,-440.015,-448.99399999999997,-436.4040000000003,E,-441.4762727272728,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,12,core,36,32,4608,3,16,1,warm,E minus C,-135.87499999999977,-142.9910000000002,-116.23699999999963,E,-131.39118181818176,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,12,core,36,32,4608,3,16,1,warm,D minus C,719.7790000000002,704.4470000000003,737.0339999999994,C,723.7096363636365,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,12,core,36,32,4608,3,16,1,warm,G minus F,-231.10300000000007,-238.79200000000014,-225.6260000000002,G,-230.34836363636362,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,12,core,36,32,4608,3,16,1,warm,F minus D,-855.576,-868.2499999999999,-842.0120000000003,F,-853.9449090909093,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,12,core,36,32,4608,3,16,1,warm,E minus D,-858.7009999999999,-867.2180000000001,-840.5229999999997,E,-855.1008181818183,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,13,core,36,32,4608,3,32,1,warm,E minus C,-268.06599999999935,-277.0799999999999,-253.79000000000042,E,-268.64890909090917,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,13,core,36,32,4608,3,32,1,warm,D minus C,1409.6689999999994,1401.4480000000003,1427.3520000000003,C,1409.7390909090914,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,13,core,36,32,4608,3,32,1,warm,G minus F,-488.7760000000005,-507.72200000000043,-476.8489999999995,G,-488.9071818181819,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,13,core,36,32,4608,3,32,1,warm,F minus D,-1678.7070000000012,-1685.6479999999988,-1656.6380000000004,F,-1679.4992727272727,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,13,core,36,32,4608,3,32,1,warm,E minus D,-1681.1420000000007,-1691.803,-1666.8360000000005,E,-1678.3880000000004,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,14,core,36,32,4608,3,64,1,warm,E minus C,-503.1930000000002,-544.1289999999985,-489.425000000002,E,-508.2249999999995,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,14,core,36,32,4608,3,64,1,warm,D minus C,2826.7120000000023,2799.676000000002,2850.3140000000008,C,2826.3140000000017,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,14,core,36,32,4608,3,64,1,warm,G minus F,-1014.2079999999978,-1031.6479999999988,-1000.795000000001,G,-1016.8874545454551,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,14,core,36,32,4608,3,64,1,warm,F minus D,-3333.231000000001,-3366.9540000000025,-3317.2800000000025,F,-3335.210636363637,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,14,core,36,32,4608,3,64,1,warm,E minus D,-3337.436,-3355.2640000000006,-3317.2110000000016,E,-3334.539000000001,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,15,core,36,32,4608,3,128,1,warm,E minus C,-976.8290000000006,-994.4930000000031,-948.4789999999994,E,-975.0479999999999,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,15,core,36,32,4608,3,128,1,warm,D minus C,5696.599999999994,5589.253999999995,5778.039999999995,C,6106.463000000001,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,15,core,36,32,4608,3,128,1,warm,G minus F,-2045.4580000000033,-2082.146000000007,-2025.9520000000057,G,-2049.893000000001,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,15,core,36,32,4608,3,128,1,warm,F minus D,-6655.407000000006,-6758.159999999998,-6544.618,F,-7093.1182727272735,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,15,core,36,32,4608,3,128,1,warm,E minus D,-6669.306000000001,-6772.5329999999985,-6493.170000000002,E,-7081.511000000001,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,16,core,144,32,18432,1,1,1,warm,E minus C,-7.138999999999996,-9.351000000000006,-5.789999999999999,E,-7.308454545454544,0.0029296875,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,16,core,144,32,18432,1,1,1,warm,D minus C,24.713,19.96900000000001,28.635000000000005,C,25.150636363636366,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,16,core,144,32,18432,1,1,1,warm,G minus F,6.56600000000001,6.2080000000000055,8.917000000000002,F,7.9911818181818175,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,16,core,144,32,18432,1,1,1,warm,F minus D,-32.208,-36.446000000000005,-29.214,F,-33.92154545454546,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,16,core,144,32,18432,1,1,1,warm,E minus D,-31.233999999999995,-33.964999999999996,-28.738,E,-32.45909090909091,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,17,core,144,32,18432,1,2,1,warm,E minus C,-19.010999999999996,-22.70899999999999,-17.57499999999999,E,-20.89745454545454,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
