device,case_id,family,cells,rank,consumers,reuse,working_records,cache,arm,payload_bytes_per_record,stored_payload_bytes,serialized_metadata_bytes,resident_metadata_bytes,record_headers_bytes,read_write_ratio,implementation_sha256,median_total_us,ci_low,ci_high,median_write_us,read_p50_us,read_p95_us,read_p99_us,energy_gross_mJ_per_amortized_read,max_peak_gpu_bytes,blocks
cpu,7,core,36,32,1,128,1,warm,C,4608,4608,36,288,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,2712.7749999999983,2693.0080000000003,2745.400999999999,25.683,20.851,21.7391,24.841140000000003,,,11
cpu,7,core,36,32,1,128,1,warm,D,4608,4608,36,288,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,4623.505000000001,4606.622999999998,4630.020999999997,27.375,35.5625,37.97004999999999,43.85739000000001,,,11
cpu,7,core,36,32,1,128,1,warm,E,4608,4608,0,0,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1708.6500000000005,1701.6050000000005,1714.559,26.823,12.962,13.354399999999998,16.502850000000006,,,11
cpu,7,core,36,32,1,128,1,warm,F,4608,4608,0,0,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1709.7060000000004,1701.912,1713.7650000000006,27.258,13.0155,13.350399999999999,16.408370000000005,,,11
cpu,7,core,36,32,1,128,1,warm,G,4608,4608,0,0,16,128.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1691.7969999999996,1685.0909999999997,1712.5310000000002,32.889,12.8845,13.265,16.588190000000008,,,11
cpu,8,core,36,32,3,1,1,warm,A,4608,13824,0,0,48,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,89.006,87.797,89.238,44.899,13.994,15.9198,16.084760000000003,,,11
cpu,8,core,36,32,3,1,1,warm,B,4608,4608,0,0,16,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,46.356,45.691,46.788,4.517,13.834,14.4898,14.53796,,,11
cpu,8,core,36,32,3,1,1,warm,C,4608,4608,36,864,16,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,101.984,100.412,103.83,33.965,22.6,23.4781,23.57242,,,11
cpu,8,core,36,32,3,1,1,warm,D,4608,4608,36,864,16,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,152.529,151.621,154.094,37.153,38.554,40.1964,40.39768,,,11
cpu,8,core,36,32,3,1,1,warm,E,4608,4608,0,0,16,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,85.744,85.304,87.347,25.257,21.971,22.5681,22.596020000000003,,,11
cpu,8,core,36,32,3,1,1,warm,F,4608,4608,0,0,16,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,86.636,84.94500000000001,88.592,25.394,21.947,22.7087,22.75534,,,11
cpu,8,core,36,32,3,1,1,warm,G,4608,13824,0,0,48,3.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,103.791,102.774,105.28200000000001,59.877,13.963,16.3813,16.596259999999997,,,11
cpu,9,core,36,32,3,2,1,warm,A,4608,13824,0,0,48,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,130.23,128.746,138.57600000000002,44.961,13.692,15.93025,16.41565,,,11
cpu,9,core,36,32,3,2,1,warm,B,4608,4608,0,0,16,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,86.87400000000001,85.991,96.247,4.598,13.568999999999999,14.437,14.529,,,11
cpu,9,core,36,32,3,2,1,warm,C,4608,4608,36,864,16,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,166.98399999999998,166.28400000000002,174.493,33.791,21.943,23.439500000000002,23.6207,,,11
cpu,9,core,36,32,3,2,1,warm,D,4608,4608,36,864,16,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,262.733,261.06,266.493,36.209,37.1915,40.013999999999996,40.38120000000001,,,11
cpu,9,core,36,32,3,2,1,warm,E,4608,4608,0,0,16,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,144.095,141.812,146.04399999999998,25.882,21.360500000000002,22.64525,22.836850000000002,,,11
cpu,9,core,36,32,3,2,1,warm,F,4608,4608,0,0,16,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,143.50300000000001,142.586,145.444,26.063,21.3045,22.637,22.819200000000002,,,11
cpu,9,core,36,32,3,2,1,warm,G,4608,13824,0,0,48,6.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,145.36499999999998,143.911,155.275,60.643,13.4085,16.173750000000002,16.763550000000002,,,11
cpu,10,core,36,32,3,4,1,warm,A,4608,13824,0,0,48,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,208.59799999999998,206.88400000000001,210.21,44.815,13.3845,15.028299999999998,15.826010000000002,,,11
cpu,10,core,36,32,3,4,1,warm,B,4608,4608,0,0,16,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,165.82,164.56900000000002,166.912,4.653,13.252500000000001,14.23485,14.47817,,,11
cpu,10,core,36,32,3,4,1,warm,C,4608,4608,36,864,16,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,296.86299999999994,293.44599999999997,303.878,34.367,21.604,23.33475,23.91593,,,11
cpu,10,core,36,32,3,4,1,warm,D,4608,4608,36,864,16,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,486.8790000000001,481.374,491.654,36.246,36.7175,40.32805,41.47601,,,11
cpu,10,core,36,32,3,4,1,warm,E,4608,4608,0,0,16,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,256.532,254.51200000000006,256.92300000000006,25.812,21.2065,22.326249999999998,22.61362,,,11
cpu,10,core,36,32,3,4,1,warm,F,4608,4608,0,0,16,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,256.936,255.74599999999995,257.623,26.521,21.180500000000002,22.3305,22.66633,,,11
cpu,10,core,36,32,3,4,1,warm,G,4608,13824,0,0,48,12.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,224.79,220.69299999999998,232.13600000000002,61.15,13.063500000000001,15.389599999999998,16.69421,,,11
cpu,11,core,36,32,3,8,1,warm,A,4608,13824,0,0,48,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,367.634,365.56000000000006,368.82000000000005,44.578,13.125499999999999,14.152449999999998,15.885979999999998,,,11
cpu,11,core,36,32,3,8,1,warm,B,4608,4608,0,0,16,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,320.276,317.19999999999993,322.747,4.653,12.9355,13.9033,14.50595,,,11
cpu,11,core,36,32,3,8,1,warm,C,4608,4608,36,864,16,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,553.1919999999999,546.1370000000001,557.194,34.357,21.0285,23.563449999999996,28.342309999999998,,,11
cpu,11,core,36,32,3,8,1,warm,D,4608,4608,36,864,16,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,917.791,915.0120000000003,923.9450000000002,36.231,35.887,40.485549999999996,44.83482,,,11
cpu,11,core,36,32,3,8,1,warm,E,4608,4608,0,0,16,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,476.4790000000001,473.216,483.45499999999987,25.802,20.728,22.1466,22.75967,,,11
cpu,11,core,36,32,3,8,1,warm,F,4608,4608,0,0,16,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,475.25399999999996,470.26099999999997,480.727,26.044,20.628500000000003,21.8535,22.86234,,,11
cpu,11,core,36,32,3,8,1,warm,G,4608,13824,0,0,48,24.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,374.012,372.29900000000004,384.28200000000004,61.975,12.7385,13.862949999999998,16.15366,,,11
cpu,12,core,36,32,3,16,1,warm,A,4608,13824,0,0,48,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,676.1840000000001,670.7950000000001,680.238,44.38,12.876000000000001,13.77075,18.081350000000004,,,11
cpu,12,core,36,32,3,16,1,warm,B,4608,4608,0,0,16,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,629.8510000000001,628.8710000000002,636.924,4.639,12.895,13.773299999999999,17.570670000000007,,,11
cpu,12,core,36,32,3,16,1,warm,C,4608,4608,36,864,16,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1045.2120000000002,1032.0189999999998,1052.0970000000004,34.356,20.701,22.40745,25.648780000000006,,,11
cpu,12,core,36,32,3,16,1,warm,D,4608,4608,36,864,16,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1770.401,1752.27,1780.556000000001,36.842,35.3755,39.40495,43.667060000000006,,,11
cpu,12,core,36,32,3,16,1,warm,E,4608,4608,0,0,16,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,909.4359999999998,906.4560000000001,913.1249999999999,26.013,20.39,21.480249999999998,25.330240000000003,,,11
cpu,12,core,36,32,3,16,1,warm,F,4608,4608,0,0,16,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,913.8929999999999,910.4329999999998,916.1529999999999,25.741,20.4955,21.5069,25.368750000000006,,,11
cpu,12,core,36,32,3,16,1,warm,G,4608,13824,0,0,48,48.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,680.4899999999999,677.6580000000001,685.595,60.806,12.708,13.507499999999999,17.772560000000006,,,11
cpu,13,core,36,32,3,32,1,warm,A,4608,13824,0,0,48,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1300.2450000000001,1294.9960000000003,1312.6950000000006,44.831,12.9685,13.4355,16.393199999999993,,,11
cpu,13,core,36,32,3,32,1,warm,B,4608,4608,0,0,16,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1249.8949999999995,1246.6450000000002,1255.9100000000003,4.585,12.874,13.285250000000001,14.79329999999999,,,11
cpu,13,core,36,32,3,32,1,warm,C,4608,4608,36,864,16,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,2054.6510000000007,2045.9210000000005,2066.633,34.271,20.944000000000003,21.898,24.667099999999998,,,11
cpu,13,core,36,32,3,32,1,warm,D,4608,4608,36,864,16,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,3466.8990000000003,3458.9810000000007,3474.727,36.676,35.364000000000004,37.63125,41.35994999999999,,,11
cpu,13,core,36,32,3,32,1,warm,E,4608,4608,0,0,16,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1792.1450000000002,1781.4790000000003,1795.7119999999995,26.535,20.493000000000002,21.19475,23.166749999999993,,,11
cpu,13,core,36,32,3,32,1,warm,F,4608,4608,0,0,16,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1787.6090000000004,1773.9579999999999,1798.2169999999999,27.678,20.487000000000002,21.1,22.721549999999993,,,11
cpu,13,core,36,32,3,32,1,warm,G,4608,13824,0,0,48,96.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,1298.8329999999999,1289.5639999999996,1306.458,61.057,12.7025,13.113,16.76465,,,11
cpu,14,core,36,32,3,64,1,warm,A,4608,13824,0,0,48,192.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,2551.8120000000026,2540.7300000000005,2565.2870000000007,44.906,12.971499999999999,13.3819,15.318150000000003,,,11
cpu,14,core,36,32,3,64,1,warm,B,4608,4608,0,0,16,192.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,2498.476999999999,2480.146,2500.375000000001,4.665,12.893,13.273399999999999,14.959530000000003,,,11
cpu,14,core,36,32,3,64,1,warm,C,4608,4608,36,864,16,192.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,4046.1839999999984,4036.2680000000005,4078.760999999997,35.431,20.7255,21.578999999999997,23.928770000000004,,,11
cpu,14,core,36,32,3,64,1,warm,D,4608,4608,36,864,16,192.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,6885.4710000000005,6872.896000000001,6897.057999999999,38.985,35.3825,37.17764999999999,40.55115,,,11
cpu,14,core,36,32,3,64,1,warm,E,4608,4608,0,0,16,192.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,3548.723,3534.6319999999982,3559.621999999999,27.84,20.4885,21.2024,23.198220000000003,,,11
