encoder,rung,age,n,latent_minus_symbolic,ci_low,ci_high,source_main,source_baseline
DINOv2,jpeg_q50_518,20,90,0.16029926337820388,0.0061350087391427565,0.30781622040424017,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,30,88,0.14828638936594696,-0.03588170721995234,0.3357095419606577,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_518,40,81,0.25725626162972204,-0.005191064136042065,0.5097048565604814,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,0,90,-0.15009662779989627,-0.192915285798668,-0.11392399054170214,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,1,90,-0.21973429412341572,-0.28963395667581787,-0.15325830336338536,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,2,90,-0.2062531040983207,-0.2849806175446345,-0.12649423841859847,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,3,90,-0.1510336386768897,-0.25480578203921744,-0.05689159399851437,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,5,90,-0.12014228850039566,-0.24287898227859253,-0.004885658866012592,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,8,90,0.0020636414779343637,-0.11732732494182774,0.10617628057917898,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,12,90,0.10472136042908675,-0.004453695576782017,0.20503857119732494,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,20,90,0.0873536323453159,-0.047322270486979436,0.21360792790887073,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,30,88,0.061838180312405955,-0.1098043201704912,0.23034496110754119,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_518,40,81,0.20963738490744732,-0.04554418530087664,0.4675355311044663,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,0,90,-0.0418530900889627,-0.057340443734589054,-0.027943513497650087,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,1,90,-0.19485555546979652,-0.26046038687963347,-0.13852158656604047,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,2,90,-0.1813068904420147,-0.2539499779852075,-0.10205351455869481,q1q3_all90.json,e21_floor_dinov2.json
