device,cells,rank,consumers,arm,mode,domain_id,domain_name,gross_median_mJ,ci_low,ci_high,idle_subtracted_median_mJ,idle_subtracted_ci_low,idle_subtracted_ci_high,blocks,energy_kind,note
cpu,2304,32,3,B,read,intel-rapl:1,package-0,5.367991530054645,4.817351411509229,5.475335991493886,2.885543939869962,2.4123202942960553,3.0247116216102943,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,read,intel-rapl:1:0,dram,0.41053014069264065,0.39928325434439177,0.4135548087431694,-0.03772486972841744,-0.11621602926429433,-0.008620025418540627,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,write,intel-rapl:0,package-1,1.0574998415056958,1.0420140276086074,1.07003747248349,0.5772156470518999,0.5578243607601416,0.5790938022835561,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,write,intel-rapl:0:0,dram,0.11945694275274055,0.1163747201584943,0.12187285832814769,0.05069916614600044,0.04552045476983432,0.05701249326522282,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,write,intel-rapl:1,package-0,1.000264646772229,0.9199788736776602,1.0288446567940766,0.5393681253722231,0.4608858790573273,0.559765520352732,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,B,write,intel-rapl:1:0,dram,0.07684476248477466,0.07513641406636949,0.07863029454470027,-0.007281451863019346,-0.021183765738750894,-0.0014645856948130975,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,read,intel-rapl:0,package-1,14.848831818181818,14.706621418439715,14.973216527777778,7.888766861138183,6.790611018393619,8.376455238998302,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,read,intel-rapl:0:0,dram,1.6384133333333333,1.6249358126721762,1.6766772079772079,0.7008434160866006,0.6587338115287862,0.8106232853215766,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,read,intel-rapl:1,package-0,14.067871937321936,13.283038611111111,14.222382369146006,7.522754201661947,4.967633654503785,8.054197980866569,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,read,intel-rapl:1:0,dram,1.055034861111111,1.046094214876033,1.0815320567375888,-0.16441401175350634,-0.21641873406871165,-0.0014454146624108136,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,write,intel-rapl:0,package-1,11.545028210757408,10.740818789808918,11.684758314855877,6.199890618613635,4.494479962499228,6.411097706715592,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,write,intel-rapl:0:0,dram,1.2984116868798234,1.2464886411889597,1.3116779017857143,0.5383506433912524,0.5171186433382694,0.6145802457730425,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,write,intel-rapl:1,package-0,11.271375631174534,9.36703237791932,11.389712971175166,6.158828371146859,3.0193187082707196,6.432969404610811,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,C,write,intel-rapl:1:0,dram,0.8382189636163175,0.8070911889596603,0.8460643973214286,-0.1325564076442074,-0.16717228278442792,0.0006080022432982114,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,2304,32,3,D,read,intel-rapl:0,package-1,28.055284022038567,27.925379063360882,29.256681818181818,14.951029443835623,14.496874742420806,16.05135778362622,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
