cells,rank,payload_bytes,consumers,reuse,comparison,median_difference_us,ci_low,ci_high,winner,inference
1024,8,32768,1,1,G minus F,1.1250000000000036,-0.5420000000000016,1.333000000000002,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,2,E minus C,-9.832999999999998,-10.165999999999997,-8.543999999999997,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,2,G minus C,-8.914000000000001,-9.207999999999998,-7.707999999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,2,G minus F,1.0859999999999985,0.9590000000000032,2.0009999999999977,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,4,E minus C,-26.915000000000006,-110.416,-23.75,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,4,G minus C,-25.49900000000001,-148.87400000000002,-15.332999999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,4,G minus F,5.3770000000000024,-2.625,19.00099999999999,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,8,E minus C,-61.666,-68.211,-56.791,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,8,G minus C,-61.750999999999976,-73.96000000000001,-56.583,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,8,G minus F,1.1229999999999905,-4.168000000000006,6.667000000000002,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,16,E minus C,-137.62600000000003,-151.45800000000003,-126.75099999999999,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,16,G minus C,-127.458,-140.95600000000002,-124.20700000000002,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,16,G minus F,3.039999999999992,-6.123999999999995,11.915999999999997,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,32,E minus C,-260.62199999999996,-287.45899999999995,-250.167,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,32,G minus C,-262.504,-296.046,-252.415,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,32,G minus F,-1.4209999999999923,-22.46199999999999,16.786,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,64,E minus C,-474.2950000000001,-572.6650000000001,-275.9040000000001,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,64,G minus C,-581.6700000000001,-658.7979999999999,-529.5770000000001,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,64,G minus F,2.882000000000005,-24.835999999999956,28.704000000000008,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,128,E minus C,-1046.7490000000003,-1252.5789999999997,-998.577,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,128,G minus C,-1007.1240000000001,-1105.745,-838.327,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,1,128,G minus F,-2.796000000000049,-40.669000000000096,215.95600000000002,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,1,E minus C,-3.959000000000003,-5.248999999999995,-2.9989999999999952,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,1,G minus C,0.875,-2.6239999999999952,2.2920000000000016,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,1,G minus F,5.375,5.165999999999997,6.459000000000003,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,2,E minus C,-12.498999999999995,-13.417000000000002,-11.664999999999992,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,2,G minus C,-23.04400000000001,-27.708,-18.959000000000003,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,2,G minus F,-10.62299999999999,-12.207999999999998,-5.751000000000005,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
