suite,task_id,task,initial_state_index,arm,success,steps,decisions,acquisitions,wall_seconds,inference_median_seconds,inference_p95_seconds,inference_total_seconds,gpu_board_gross_inference_total_mJ,gpu_board_gross_episode_mJ,peak_gpu_allocated_bytes
libero_object,0,pick up the alphabet soup and place it in the basket,13,fresh,1,139,9,9,48.44813998416066,1.177145159803331,1.1835427260026337,10.597801585681736,,6757414.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,14,fresh,1,134,9,9,46.950770878233016,1.1748647289350629,1.1821590896695853,10.583367774263024,,6614847.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,15,fresh,1,140,9,9,51.188578442670405,1.1887203017249703,1.201682499423623,10.721385777927935,,7013042.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,16,fresh,1,142,9,9,50.25177040323615,1.1748999040573835,1.1961328979581594,10.60702452622354,,6943170.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,17,fresh,1,131,9,9,46.45374882500619,1.1779615562409163,1.1914820091798901,10.631574901752174,,6562257.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,18,fresh,1,140,9,9,50.47670413274318,1.1837744759395719,1.198877871595323,10.66558709461242,,6946842.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,19,fresh,1,148,10,10,54.005360580049455,1.192197109106928,1.2001304356381297,11.928852954879403,,7522289.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,20,fresh,1,137,9,9,48.96339518390596,1.1819466333836317,1.1904141472652554,10.634038995951414,,6806990.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,21,fresh,1,145,10,10,51.233123942278326,1.1792593440040946,1.1879711502231658,11.799651306122541,,7273475.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,22,fresh,1,146,10,10,52.912742763757706,1.1892060791142285,1.2013701939489692,11.915296588093042,,7421997.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,23,fresh,1,135,9,9,48.79145491775125,1.1949850805103779,1.2026971459388733,10.746034502983093,,6784073.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,24,fresh,1,142,9,9,50.59081717394292,1.1944697154685855,1.2021469410508872,10.74511785339564,,6955570.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,25,fresh,1,134,9,9,47.92962529323995,1.1929391976445913,1.2032342553138733,10.746207492426038,,6702764.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,26,fresh,1,130,9,9,46.65640801843256,1.1907248236238956,1.2034285105764866,10.74801002535969,,6579027.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,27,fresh,1,140,9,9,49.04745255969465,1.1930189542472363,1.2018749859184026,10.745269171893597,,6825162.0,5107576832
